request_id,arrival_time,month,day,hour,type,required_units,duration,assigned_cluster,completed,unit_price,revenue
681,0,1,1,0,economy,2,11.53,2,True,4,8
607,3,1,1,3,economy,3,5.217,2,False,4,0
635,3,1,1,3,economy,4,12.519,3,True,4,16
209,3,1,1,3,standard,10,2.275,1,True,7,70
132,6,1,1,6,standard,10,4.953,1,True,7,70
133,7,1,1,7,standard,6,3.76,1,True,7,42
532,7,1,1,7,economy,6,4.269,1,True,4,24
122,7,1,1,7,standard,8,11.32,2,False,7,0
314,8,1,1,8,standard,8,5.568,3,True,7,56
174,9,1,1,9,standard,10,9.279,1,True,7,70
746,9,1,1,9,economy,2,4.314,3,True,4,8
94,10,1,1,10,VIP,15,8.24,3,True,12,180
310,10,1,1,10,standard,8,3.193,1,True,7,56
587,11,1,1,11,economy,3,1.901,2,True,4,12
203,12,1,1,12,standard,4,7.17,1,True,7,28
366,15,1,1,15,standard,6,2.482,2,True,7,42
758,17,1,1,17,economy,2,6.325,2,True,4,8
116,18,1,1,18,standard,10,12.352,2,True,7,70
418,22,1,1,22,standard,6,9.408,1,False,7,0
414,22,1,1,22,standard,10,4.68,3,True,7,70
748,23,1,1,23,economy,3,19.099,2,True,4,12
342,24,1,2,0,standard,6,4.375,1,True,7,42
744,25,1,2,1,economy,3,6.938,2,True,4,12
225,26,1,2,2,standard,8,1.652,1,True,7,56
30,27,1,2,3,VIP,10,1.631,2,True,12,120
252,28,1,2,4,standard,6,3.669,3,False,7,0
526,28,1,2,4,economy,4,3.807,2,True,4,16
259,29,1,2,5,standard,4,4.251,1,True,7,28
136,31,1,2,7,standard,10,5.638,1,True,7,70
250,31,1,2,7,standard,8,6.494,3,True,7,56
113,32,1,2,8,standard,4,1.969,2,True,7,28
312,32,1,2,8,standard,6,1.33,3,True,7,42
213,33,1,2,9,standard,10,6.132,3,True,7,70
676,34,1,2,10,economy,3,4.39,3,True,4,12
169,34,1,2,10,standard,4,9.882,3,True,7,28
509,35,1,2,11,standard,4,2.765,3,True,7,28
161,35,1,2,11,standard,6,6.16,1,False,7,0
614,35,1,2,11,economy,2,1.461,1,True,4,8
741,36,1,2,12,economy,3,4.029,3,True,4,12
715,37,1,2,13,economy,2,0.465,1,True,4,8
439,38,1,2,14,standard,8,10.733,2,False,7,0
353,38,1,2,14,standard,8,2.973,2,True,7,56
714,39,1,2,15,economy,3,5.345,1,True,4,12
