month,total_requests,completed_requests,total_revenue,avg_required_units,avg_duration
1,780,695,33486,6.0948717948717945,6.660457692307692
2,762,688,32548,5.952755905511811,7.087547244094488
3,881,797,37400,5.993189557321226,6.4537423382519865
4,877,774,38388,6.094640820980616,7.236905359179019
5,965,860,40650,6.030051813471503,6.779576165803109
6,1078,964,44580,6.012987012987013,6.937309833024119
7,1154,1027,47394,5.941941074523397,6.4354280762565
8,1104,982,49096,6.238224637681159,6.584717391304348
9,953,858,40978,6.0398740818468,6.828866736621196
10,851,764,35700,5.947121034077556,6.647967097532315
11,988,884,41034,5.931174089068826,6.930307692307693
12,1092,972,44818,5.967032967032967,6.796662087912088
