month,type,total_requests,completed_requests,total_revenue,avg_required_units,avg_duration
1,VIP,76,74,14014,13.526315789473685,5.238723684210527
1,economy,371,281,6028,5.285714285714286,19.29145552560647
1,standard,357,317,20072,7.918767507002801,8.60529131652661
2,VIP,73,68,12950,13.465753424657533,5.312397260273973
2,economy,347,277,5796,5.253602305475504,21.10905763688761
2,standard,383,348,21064,7.556135770234987,9.56774673629243
3,VIP,78,75,14616,13.820512820512821,5.460333333333334
3,economy,355,277,5964,5.264788732394366,19.07932676056338
3,standard,446,407,24936,7.654708520179372,8.783
4,VIP,110,105,19908,13.49090909090909,5.499154545454545
4,economy,403,316,6720,5.357320099255583,21.180347394540945
4,standard,460,403,25064,7.782608695652174,9.379454347826087
5,VIP,112,108,20748,13.714285714285714,5.601455357142858
5,economy,404,321,6788,5.282178217821782,20.20950495049505
5,standard,445,391,24016,7.703370786516854,8.829851685393258
6,VIP,126,125,23758,13.587301587301587,5.399896825396826
6,economy,435,316,6888,5.418390804597701,19.643055172413792
6,standard,509,457,28168,7.734774066797643,9.691974459724952
7,VIP,188,179,33628,13.436170212765957,5.9217765957446815
7,economy,420,324,6824,5.233333333333333,20.00717857142857
7,standard,600,537,33120,7.71,8.993266666666667
8,VIP,146,143,27818,13.938356164383562,4.632616438356164
8,economy,466,355,7580,5.356223175965665,19.76404721030043
8,standard,560,495,31256,7.9125,8.917078571428572
9,VIP,95,89,17290,13.91578947368421,5.158578947368421
9,economy,413,332,6976,5.309927360774818,20.256336561743343
9,standard,475,424,26464,7.823157894736842,9.253292631578947
10,VIP,80,76,15414,14.55,4.834325
10,economy,391,290,6056,5.194373401534527,20.30772378516624
10,standard,423,364,22808,7.872340425531915,9.11647754137116
11,VIP,110,108,20468,13.50909090909091,4.458872727272727
11,economy,422,313,6908,5.469194312796208,20.140983412322278
11,standard,545,490,30480,7.790825688073395,8.942550458715596
12,VIP,161,155,30422,14.074534161490684,5.177459627329193
12,economy,468,342,7240,5.1923076923076925,20.5881047008547
12,standard,592,528,33776,7.983108108108108,9.327342905405406
