month,request_type,requests,completed,revenue
1,VIP,222,46,599280.00
1,standard,523,269,1483296.00
1,economy,925,587,1802042.00
2,VIP,193,31,350768.00
2,standard,534,228,1318080.00
2,economy,853,499,1677698.00
3,VIP,248,45,630960.00
3,standard,599,268,1523232.00
3,economy,824,508,1702228.00
4,VIP,239,46,557216.00
4,standard,622,292,1796448.00
4,economy,772,484,1560856.00
5,VIP,264,63,749232.00
5,standard,644,290,1736352.00
5,economy,837,483,1586244.00
6,VIP,263,56,689568.00
6,standard,585,289,1719360.00
6,economy,732,457,1509222.00
7,VIP,244,73,867152.00
7,standard,534,275,1619040.00
7,economy,713,472,1613502.00
8,VIP,247,58,616352.00
8,standard,548,258,1611456.00
8,economy,781,481,1646062.00
9,VIP,247,56,770352.00
9,standard,638,296,1701024.00
9,economy,861,505,1535556.00
10,VIP,266,48,596288.00
10,standard,658,315,1851552.00
10,economy,850,515,1548316.00
11,VIP,314,54,648384.00
11,standard,694,299,1614528.00
11,economy,874,512,1626988.00
12,VIP,318,53,614592.00
12,standard,781,333,1705056.00
12,economy,901,482,1459722.00
